manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing
Steadview,DFM FOODS LTD.,INE456C01020,2016-12-31,305318,3.05,2017-01-16,Threshold Routine
Steadview,DFM FOODS LTD.,INE456C01020,2017-03-31,304694,3.05,2017-04-17,Threshold Routine
Steadview,NEULAND LABORATORIES LTD.,INE794A01010,2018-06-30,1270159,9.9,2018-08-02,Threshold Routine
Steadview,NEULAND LABORATORIES LTD.,INE794A01010,2018-09-30,1270159,9.9,2018-10-11,Threshold Routine
Steadview,SORIL Infra Resources Ltd,INE034H01016,2019-09-30,3143600,9.98,2019-10-22,Threshold Routine
Steadview,NEULAND LABORATORIES LTD.,INE794A01010,2018-12-31,1270159,9.9,2019-01-03,Threshold Routine
Steadview,NEULAND LABORATORIES LTD.,INE794A01010,2019-06-30,1270159,9.9,2019-07-15,Threshold Routine
Steadview,NEULAND LABORATORIES LTD.,INE794A01010,2019-09-30,1270159,9.9,2019-10-10,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2016-12-31,2392036,4.31,2017-01-13,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2017-03-31,2392036,4.31,2017-04-18,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2017-06-30,1994494,3.59,2017-07-18,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2017-09-30,1994494,3.59,2017-10-21,Threshold Routine
Steadview,V-MART RETAIL LTD.,INE665J01013,2018-12-31,392816,2.17,2019-01-04,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2019-12-31,8253187,9.24,2020-01-17,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2019-09-30,8253187,9.24,2019-10-22,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2019-06-30,8253187,9.24,2019-07-19,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2019-03-31,8253187,9.24,2019-04-16,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2018-12-31,8253187,9.24,2019-01-18,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2018-12-31,192191,1.7,2019-01-23,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2018-06-30,8253187,9.24,2018-07-12,Threshold Routine
Steadview,NEULAND LABORATORIES LTD.,INE794A01010,2019-03-31,1270159,9.9,2019-04-04,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2019-03-31,448235,3.96,2019-05-03,Threshold Routine
Steadview,NATCO PHARMA LTD.,INE987B01026,2018-03-31,2625581,1.42,2018-04-10,Threshold Routine
Steadview,IndiaMART InterMESH Ltd,INE933S01016,2019-12-31,734806,2.54,2020-01-16,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2018-03-31,449120,4.03,2018-04-10,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2018-06-30,527028,4.73,2018-07-11,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2018-09-30,533428,4.78,2018-10-10,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2018-12-31,540794,4.85,2019-01-09,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2019-03-31,584666,5.24,2019-04-10,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2019-06-30,584666,5.24,2019-07-10,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2019-09-30,539666,4.84,2019-11-04,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2019-12-31,509666,4.57,2020-01-08,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2016-06-30,4718624,3.94,2016-07-21,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2016-09-30,4718624,3.94,2016-10-20,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2017-06-30,5028624,4.2,2017-07-20,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2017-09-30,5562358,4.64,2017-10-13,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2017-12-31,6300837,5.26,2018-01-19,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2018-03-31,6650837,5.55,2018-04-19,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2018-06-30,9573089,7.99,2018-07-20,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2018-09-30,10191863,8.51,2018-10-19,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2018-12-31,10191863,8.51,2019-01-18,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2019-03-31,10972125,9.16,2019-04-20,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2019-06-30,10972125,9.1,2019-07-21,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2019-12-31,13485187,8.95,2020-01-17,Threshold Routine
Steadview,MOTILAL OSWAL FINANCIAL SERVICES LTD.,INE338I01027,2017-09-30,1565489,1.08,2017-10-17,Threshold Routine
Steadview,MOTILAL OSWAL FINANCIAL SERVICES LTD.,INE338I01027,2017-12-31,1676204,1.16,2018-01-18,Threshold Routine
Steadview,MOTILAL OSWAL FINANCIAL SERVICES LTD.,INE338I01027,2018-03-31,1676204,1.16,2018-04-17,Threshold Routine
Steadview,MOTILAL OSWAL FINANCIAL SERVICES LTD.,INE338I01027,2018-06-30,1914204,1.32,2018-07-27,Threshold Routine
Steadview,MOTILAL OSWAL FINANCIAL SERVICES LTD.,INE338I01027,2018-09-30,2403129,1.65,2018-10-17,Threshold Routine
Steadview,MOTILAL OSWAL FINANCIAL SERVICES LTD.,INE338I01027,2018-12-31,2403129,1.65,2019-01-18,Threshold Routine
